state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,21days_or_fewer,nonmonetary_determination_time_lapse,md_fy_num,md_fy_str
AK,2020-06-30,intra-total,2168,950,855,535,531,694,683,442,135,150,955,8098,4073,0.502963694739442,2019,2019-2020
AK,2020-06-30,intra-ucfe,5,4,3,0,3,1,1,1,1,0,3,22,12,0.545454545454545,2019,2019-2020
AK,2020-06-30,intra-ucx,8,0,3,0,2,1,1,0,0,0,1,16,9,0.5625,2019,2019-2020
AK,2020-06-30,intra-ui,2155,946,849,535,526,692,681,441,134,150,951,8060,4052,0.50272952853598,2019,2019-2020
AK,2020-07-31,inter-total,227,129,93,60,40,44,33,41,64,106,80,917,436,0.47546346782988,2020,2020-2021
AK,2020-07-31,inter-ucfe,1,0,1,0,0,0,0,0,0,0,0,2,1,0.5,2020,2020-2021
AK,2020-07-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2020-2021
AK,2020-07-31,inter-ui,226,129,92,60,40,44,33,41,64,106,80,915,435,0.475409836065574,2020,2020-2021
AK,2020-07-31,intra-total,1844,932,789,563,672,791,568,529,529,1152,830,9199,3606,0.391999130340254,2020,2020-2021
AK,2020-07-31,intra-ucfe,9,7,3,1,0,2,0,0,3,1,4,30,20,0.666666666666667,2020,2020-2021
AK,2020-07-31,intra-ucx,7,2,1,0,0,0,1,0,0,3,1,15,10,0.666666666666667,2020,2020-2021
AK,2020-07-31,intra-ui,1828,923,785,562,672,789,567,529,526,1148,825,9154,3576,0.390648896657199,2020,2020-2021
AK,2020-08-31,inter-total,221,111,67,43,14,13,10,13,11,132,197,832,529,0.635817307692308,2020,2020-2021
AK,2020-08-31,inter-ucfe,0,0,0,1,0,0,0,0,0,1,1,3,1,0.333333333333333,2020,2020-2021
AK,2020-08-31,inter-ucx,1,0,0,0,0,0,0,0,0,0,1,2,2,1,2020,2020-2021
AK,2020-08-31,inter-ui,220,111,67,42,14,13,10,13,11,131,195,827,526,0.636033857315599,2020,2020-2021
AK,2020-08-31,intra-total,1737,707,374,250,166,145,126,262,233,1299,1096,6395,3540,0.553557466770915,2020,2020-2021
AK,2020-08-31,intra-ucfe,13,3,2,2,2,1,0,1,0,7,3,34,19,0.558823529411765,2020,2020-2021
AK,2020-08-31,intra-ucx,2,2,2,1,0,0,0,2,0,2,1,12,5,0.416666666666667,2020,2020-2021
AK,2020-08-31,intra-ui,1722,702,370,247,164,144,126,259,233,1290,1092,6349,3516,0.553787998109939,2020,2020-2021
AK,2020-09-30,inter-total,264,151,87,43,21,20,19,2,3,135,185,930,600,0.645161290322581,2020,2020-2021
AK,2020-09-30,inter-ucfe,2,0,1,1,1,0,0,1,0,1,0,7,2,0.285714285714286,2020,2020-2021
AK,2020-09-30,inter-ucx,1,0,0,0,1,0,0,0,0,1,0,3,1,0.333333333333333,2020,2020-2021
AK,2020-09-30,inter-ui,261,151,86,42,19,20,19,1,3,133,185,920,597,0.648913043478261,2020,2020-2021
AK,2020-09-30,intra-total,1516,843,582,348,189,141,153,46,54,1290,1137,6299,3496,0.55500873154469,2020,2020-2021
AK,2020-09-30,intra-ucfe,9,1,1,4,0,0,0,0,0,6,4,25,14,0.56,2020,2020-2021
AK,2020-09-30,intra-ucx,2,4,1,0,0,0,0,0,0,1,3,11,9,0.818181818181818,2020,2020-2021
AK,2020-09-30,intra-ui,1505,838,580,344,189,141,153,46,54,1283,1130,6263,3473,0.554526584703816,2020,2020-2021
AK,2020-10-31,inter-total,274,71,29,45,51,31,42,41,13,124,173,894,518,0.579418344519016,2020,2020-2021
AK,2020-10-31,inter-ucfe,3,0,0,0,0,0,0,1,0,1,1,6,4,0.666666666666667,2020,2020-2021
AK,2020-10-31,inter-ucx,1,1,0,0,0,0,1,0,0,0,0,3,2,0.666666666666667,2020,2020-2021
AK,2020-10-31,inter-ui,270,70,29,45,51,31,41,40,13,123,172,885,512,0.578531073446328,2020,2020-2021
AK,2020-10-31,intra-total,1642,409,190,191,246,189,219,233,78,903,1005,5305,3056,0.576060320452403,2020,2020-2021
AK,2020-10-31,intra-ucfe,11,1,0,1,2,1,0,1,0,1,5,23,17,0.739130434782609,2020,2020-2021
AK,2020-10-31,intra-ucx,0,0,1,0,1,0,0,0,0,2,1,5,1,0.2,2020,2020-2021
AK,2020-10-31,intra-ui,1631,408,189,190,243,188,219,232,78,900,999,5277,3038,0.575705893500095,2020,2020-2021
AK,2020-11-30,inter-total,104,80,28,16,11,17,4,11,17,177,155,620,339,0.546774193548387,2020,2020-2021
AK,2020-11-30,inter-ucfe,1,1,0,0,0,0,0,0,0,0,1,3,3,1,2020,2020-2021
AK,2020-11-30,inter-ucx,1,0,0,1,0,0,0,0,0,2,0,4,1,0.25,2020,2020-2021
AK,2020-11-30,inter-ui,102,79,28,15,11,17,4,11,17,175,154,613,335,0.546492659053834,2020,2020-2021
AK,2020-11-30,intra-total,747,552,219,115,79,126,71,75,74,1308,928,4294,2227,0.518630647414998,2020,2020-2021
AK,2020-11-30,intra-ucfe,4,7,0,1,0,0,1,0,1,1,8,23,19,0.826086956521739,2020,2020-2021
AK,2020-11-30,intra-ucx,1,2,0,0,0,0,0,0,0,3,1,7,4,0.571428571428571,2020,2020-2021
AK,2020-11-30,intra-ui,742,543,219,114,79,126,70,75,73,1304,919,4264,2204,0.516885553470919,2020,2020-2021
AK,2020-12-31,inter-total,95,86,44,38,23,14,11,6,3,186,85,591,266,0.450084602368866,2020,2020-2021
AK,2020-12-31,inter-ucfe,0,2,1,0,0,0,1,0,0,3,1,8,3,0.375,2020,2020-2021
AK,2020-12-31,inter-ucx,2,0,0,0,0,0,0,0,0,1,0,3,2,0.666666666666667,2020,2020-2021
AK,2020-12-31,inter-ui,93,84,43,38,23,14,10,6,3,182,84,580,261,0.45,2020,2020-2021
