state,report_for_period_ending,non_exempt_1st_payment,non_exempt_intrastate_matches,non_exempt_interstate_matches,exempt_1st_payment,exempt_intrastate_matches,exempt_interstate_matches,md_fy_num,md_fy_str,reemployment_rate
MA,2020-03-31,75446,39846,8317,13994,8799,2189,2019,2019-2020,0.638377117408478
MA,2020-06-30,317157,174798,53065,14181,8899,2669,2019,2019-2020,0.718454897732038
MA,2020-09-30,80996,44800,13549,3577,2003,846,2020,2020-2021,0.720393599683935
MA,2020-12-31,37090,19389,5886,2297,1165,341,2020,2020-2021,0.68145052574818
MA,2021-03-31,42365,24692,5688,6052,3924,1228,2020,2020-2021,0.717101380856839
MA,2021-06-30,30210,15900,5357,4104,2567,876,2020,2020-2021,0.703641178417743
MA,2021-09-30,32136,17494,6069,3769,2144,953,2021,2021-2022,0.733227532984815
MA,2021-12-31,29046,13696,5007,4407,2308,820,2021,2021-2022,0.643909660538456
MA,2022-03-31,40462,25903,6530,8107,5358,1812,2021,2021-2022,0.801566902278681
MA,2022-06-30,26352,12960,6048,3960,2250,1043,2021,2021-2022,0.721311475409836
MA,2022-09-30,28370,14635,6211,3756,2026,1097,2022,2022-2023,0.734790271413465
MA,2022-12-31,29148,11957,4826,4661,2370,861,2022,2022-2023,0.575785645670372
MA,2023-03-31,46458,27123,7660,8123,5310,1912,2022,2022-2023,0.748697748504025
MA,2023-06-30,31695,13269,7135,3528,1953,881,2022,2022-2023,0.643760845559237
MA,2023-09-30,32926,15178,6814,3962,2060,1065,2023,2023-2024,0.667922006924619
MD,2019-03-31,19963,11593,1765,7105,5353,944,2018,2018-2019,0.66913790512448
MD,2019-06-30,14159,7019,1384,2189,2064,32,2018,2018-2019,0.59347411540363
MD,2019-09-30,14398,7592,1399,3585,3142,87,2019,2019-2020,0.624461730795944
MD,2019-12-31,152870,7236,1289,3534,2759,100,2019,2019-2020,0.055766337410872
MD,2020-03-31,23314,11334,1124,16479,11713,218,2019,2019-2020,0.5343570386892
MD,2020-06-30,126473,80077,1772,95823,70368,978,2019,2019-2020,0.647165798233615
MD,2020-09-30,29959,16051,232,6265,4423,32,2020,2020-2021,0.543509462932675
MD,2020-12-31,28762,15229,1,1530,1055,0,2020,2020-2021,0.52951811417843
MD,2021-03-31,38875,22321,1229,1964,1416,46,2020,2020-2021,0.605787781350482
MD,2021-06-30,29210,19316,5,974,891,0,2020,2020-2021,0.661451557685724
MD,2021-09-30,18623,11140,10,1006,917,0,2021,2021-2022,0.598722010417226
MD,2021-12-31,18614,9639,1410,1022,891,35,2021,2021-2022,0.593585473299667
MD,2022-03-31,38180,21555,1218,2659,2099,54,2021,2021-2022,0.596464117338921
MD,2022-06-30,9862,5455,916,990,900,33,2021,2021-2022,0.646015007097952
MD,2022-09-30,9954,5432,781,1808,1582,47,2022,2022-2023,0.624171187462327
MD,2022-12-31,15135,7660,1260,852,695,37,2022,2022-2023,0.589362405021474
MD,2023-03-31,14875,8503,1464,2362,2182,76,2022,2022-2023,0.670050420168067
MD,2023-06-30,10711,5727,784,632,560,21,2022,2022-2023,0.607879749789936
MD,2023-09-30,12450,7200,569,977,901,27,2023,2023-2024,0.624016064257028
MD,2023-12-31,12713,6286,938,735,575,21,2023,2023-2024,0.568237237473452
MD,2024-03-31,13685,7666,968,2610,2382,62,2023,2023-2024,0.630909755206431
MD,2024-06-30,13931,7605,975,758,668,40,2023,2023-2024,0.615892613595578
ME,2019-03-31,7004,5442,271,369,368,0,2018,2018-2019,0.815676756139349
ME,2019-06-30,3427,2459,101,162,162,0,2018,2018-2019,0.747009045812664
ME,2019-09-30,2482,1708,109,170,170,0,2019,2019-2020,0.732070910556003
ME,2019-12-31,4449,1877,192,325,323,0,2019,2019-2020,0.465048325466397
ME,2020-03-31,6883,4680,243,16752,11480,0,2019,2019-2020,0.715240447479297
ME,2020-06-30,0,0,0,85570,65411,1128,2019,2019-2020,
ME,2020-09-30,3967,2690,118,10078,6836,299,2020,2020-2021,0.707839677338039
ME,2020-12-31,7076,3245,0,9,4,0,2020,2020-2021,0.458592425098926
ME,2021-03-31,11256,7927,291,15,11,0,2020,2020-2021,0.730099502487562
ME,2021-06-30,7512,5294,187,6,3,0,2020,2020-2021,0.729632587859425
ME,2021-09-30,4773,3339,151,3,1,1,2021,2021-2022,0.731196312591661
ME,2021-12-31,3810,1789,177,6,2,0,2021,2021-2022,0.516010498687664
ME,2022-03-31,6048,4811,208,11,10,0,2021,2021-2022,0.829861111111111
ME,2022-06-30,3265,2382,135,1,1,0,2021,2021-2022,0.770903522205207
ME,2022-09-30,2368,1614,97,6,4,0,2022,2022-2023,0.722550675675676
ME,2022-12-31,3894,1753,209,3,3,0,2022,2022-2023,0.503852080123267
ME,2023-03-31,6895,5154,267,8,6,1,2022,2022-2023,0.786221899927484
ME,2023-06-30,4071,2804,145,8,4,0,2022,2022-2023,0.724392041267502
ME,2023-09-30,2792,1791,122,4,3,0,2023,2023-2024,0.685171919770774
ME,2023-12-31,4527,2107,212,9,8,0,2023,2023-2024,0.512259774685222
MI,2019-03-31,45253,34993,194,35086,33335,53,2018,2018-2019,0.777561708616003
MI,2019-06-30,25057,16162,184,9346,8695,25,2018,2018-2019,0.652352635989943
MI,2019-09-30,37111,28347,107,4949,4876,2,2019,2019-2020,0.766726846487564
MI,2019-12-31,52265,29649,99,5284,5140,1,2019,2019-2020,0.569176313020186
