state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,14days_or_fewer,21days_or_fewer,non_waiting_week,first_payment_promptness,md_fy_num,md_fy_str
AK,2019-10-31,inter-ucfe,10,0,0,0,0,0,0,0,0,1,0,11,10,10,FALSE,0.909090909090909,2019,2019-2020
AK,2019-10-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2019-10-31,inter-ui,309,5,1,0,1,0,0,0,0,0,128,444,437,442,FALSE,0.995495495495495,2019,2019-2020
AK,2019-10-31,intra-total,795,34,10,7,0,0,0,2,1,1,354,1204,1149,1183,FALSE,0.982558139534884,2019,2019-2020
AK,2019-10-31,intra-ucfe,11,1,0,1,0,0,0,0,1,0,4,18,15,16,FALSE,0.888888888888889,2019,2019-2020
AK,2019-10-31,intra-ucx,1,0,0,0,0,0,0,0,0,0,1,2,2,2,FALSE,1,2019,2019-2020
AK,2019-10-31,intra-ui,783,33,10,6,0,0,0,2,0,1,349,1184,1132,1165,FALSE,0.983952702702703,2019,2019-2020
AK,2019-11-30,inter-total,463,16,6,2,1,0,0,0,0,0,162,650,625,641,FALSE,0.986153846153846,2019,2019-2020
AK,2019-11-30,inter-ucfe,13,1,0,0,0,0,0,0,0,0,3,17,16,17,FALSE,1,2019,2019-2020
AK,2019-11-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2019-11-30,inter-ui,450,15,6,2,1,0,0,0,0,0,159,633,609,624,FALSE,0.985781990521327,2019,2019-2020
AK,2019-11-30,intra-total,1130,55,10,5,7,1,2,1,2,0,392,1605,1522,1577,FALSE,0.982554517133956,2019,2019-2020
AK,2019-11-30,intra-ucfe,13,2,0,0,1,0,0,0,0,0,9,25,22,24,FALSE,0.96,2019,2019-2020
AK,2019-11-30,intra-ucx,2,0,0,0,1,0,0,0,0,0,2,5,4,4,FALSE,0.8,2019,2019-2020
AK,2019-11-30,intra-ui,1115,53,10,5,5,1,2,1,2,0,381,1575,1496,1549,FALSE,0.983492063492064,2019,2019-2020
AK,2019-12-31,inter-total,404,24,1,0,0,0,1,0,1,0,173,604,577,601,FALSE,0.995033112582781,2019,2019-2020
AK,2019-12-31,inter-ucfe,15,0,0,0,0,0,0,0,0,0,6,21,21,21,FALSE,1,2019,2019-2020
AK,2019-12-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2019-12-31,inter-ui,389,24,1,0,0,0,1,0,1,0,167,583,556,580,FALSE,0.994854202401372,2019,2019-2020
AK,2019-12-31,intra-total,1196,65,16,9,1,3,2,2,0,0,573,1867,1769,1834,FALSE,0.982324584895554,2019,2019-2020
AK,2019-12-31,intra-ucfe,20,1,1,0,0,0,1,0,0,0,13,36,33,34,FALSE,0.944444444444444,2019,2019-2020
AK,2019-12-31,intra-ucx,0,0,0,0,0,0,0,0,0,0,1,1,1,1,FALSE,1,2019,2019-2020
AK,2019-12-31,intra-ui,1176,64,15,9,1,3,1,2,0,0,559,1830,1735,1799,FALSE,0.983060109289618,2019,2019-2020
AK,2020-01-31,inter-total,264,11,3,1,1,1,0,0,0,1,90,372,354,365,FALSE,0.981182795698925,2019,2019-2020
AK,2020-01-31,inter-ucfe,16,0,0,0,0,1,0,0,0,1,2,20,18,18,FALSE,0.9,2019,2019-2020
AK,2020-01-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2020-01-31,inter-ui,248,11,3,1,1,0,0,0,0,0,88,352,336,347,FALSE,0.985795454545455,2019,2019-2020
AK,2020-01-31,intra-total,1267,58,15,10,3,3,2,1,1,3,558,1921,1825,1883,FALSE,0.980218636127017,2019,2019-2020
AK,2020-01-31,intra-ucfe,18,2,0,0,0,0,1,0,0,0,9,30,27,29,FALSE,0.966666666666667,2019,2019-2020
AK,2020-01-31,intra-ucx,1,0,0,0,0,0,1,0,0,0,2,4,3,3,FALSE,0.75,2019,2019-2020
AK,2020-01-31,intra-ui,1248,56,15,10,3,3,0,1,1,3,547,1887,1795,1851,FALSE,0.980922098569157,2019,2019-2020
AK,2020-02-29,inter-total,127,8,2,0,0,1,0,0,0,0,68,206,195,203,FALSE,0.985436893203883,2019,2019-2020
AK,2020-02-29,inter-ucfe,8,0,0,0,0,1,0,0,0,0,3,12,11,11,FALSE,0.916666666666667,2019,2019-2020
AK,2020-02-29,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2020-02-29,inter-ui,119,8,2,0,0,0,0,0,0,0,65,194,184,192,FALSE,0.989690721649485,2019,2019-2020
AK,2020-02-29,intra-total,978,55,14,2,6,1,2,1,1,1,446,1507,1424,1479,FALSE,0.9814200398142,2019,2019-2020
AK,2020-02-29,intra-ucfe,10,0,0,0,1,0,0,0,0,0,5,16,15,15,FALSE,0.9375,2019,2019-2020
AK,2020-02-29,intra-ucx,1,0,0,0,0,0,0,0,1,0,1,3,2,2,FALSE,0.666666666666667,2019,2019-2020
AK,2020-02-29,intra-ui,967,55,14,2,5,1,2,1,0,1,440,1488,1407,1462,FALSE,0.98252688172043,2019,2019-2020
AK,2020-03-31,inter-total,142,6,2,0,1,0,0,0,0,0,43,194,185,191,FALSE,0.984536082474227,2019,2019-2020
AK,2020-03-31,inter-ucfe,2,1,1,0,0,0,0,0,0,0,3,7,5,6,FALSE,0.857142857142857,2019,2019-2020
AK,2020-03-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2020-03-31,inter-ui,140,5,1,0,1,0,0,0,0,0,40,187,180,185,FALSE,0.989304812834225,2019,2019-2020
AK,2020-03-31,intra-total,1407,55,9,3,1,3,2,1,2,1,381,1865,1788,1843,FALSE,0.988203753351207,2019,2019-2020
AK,2020-03-31,intra-ucfe,5,0,1,0,1,0,0,0,0,0,4,11,9,9,FALSE,0.818181818181818,2019,2019-2020
AK,2020-03-31,intra-ucx,0,0,0,0,0,0,0,0,0,0,2,2,2,2,FALSE,1,2019,2019-2020
AK,2020-03-31,intra-ui,1402,55,8,3,0,3,2,1,2,1,375,1852,1777,1832,FALSE,0.989200863930886,2019,2019-2020
AK,2020-04-30,inter-total,775,516,469,140,10,3,0,0,1,1,504,2419,1279,1795,FALSE,0.742042166184374,2019,2019-2020
AK,2020-04-30,inter-ucfe,1,1,1,1,0,0,0,0,1,0,2,7,3,4,FALSE,0.571428571428571,2019,2019-2020
AK,2020-04-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2019,2019-2020
AK,2020-04-30,inter-ui,774,515,468,139,10,3,0,0,0,1,502,2412,1276,1791,FALSE,0.742537313432836,2019,2019-2020
AK,2020-04-30,intra-total,5829,6683,7462,2839,160,50,3,2,1,3,5973,29005,11802,18485,FALSE,0.637303913118428,2019,2019-2020
AK,2020-04-30,intra-ucfe,5,5,7,5,1,0,0,0,0,0,4,27,9,14,FALSE,0.518518518518519,2019,2019-2020
AK,2020-04-30,intra-ucx,0,6,0,2,0,0,0,0,0,0,3,11,3,9,FALSE,0.818181818181818,2019,2019-2020
AK,2020-04-30,intra-ui,5824,6672,7455,2832,159,50,3,2,1,3,5966,28967,11790,18462,FALSE,0.637345945386129,2019,2019-2020
AK,2020-05-31,inter-total,884,49,37,42,19,13,2,0,1,1,172,1220,1056,1105,FALSE,0.905737704918033,2019,2019-2020
AK,2020-05-31,inter-ucfe,0,2,0,0,1,0,0,0,0,0,1,4,1,3,FALSE,0.75,2019,2019-2020
AK,2020-05-31,inter-ucx,0,0,2,0,0,0,0,0,0,0,0,2,0,0,FALSE,0,2019,2019-2020
AK,2020-05-31,inter-ui,884,47,35,42,18,13,2,0,1,1,171,1214,1055,1102,FALSE,0.907742998352554,2019,2019-2020
AK,2020-05-31,intra-total,5663,732,706,667,407,230,77,40,11,3,1331,9867,6994,7726,FALSE,0.783014087361913,2019,2019-2020
AK,2020-05-31,intra-ucfe,6,6,6,4,7,5,1,0,0,0,8,43,14,20,FALSE,0.465116279069768,2019,2019-2020
AK,2020-05-31,intra-ucx,0,1,2,0,0,0,0,0,0,0,4,7,4,5,FALSE,0.714285714285714,2019,2019-2020
AK,2020-05-31,intra-ui,5657,725,698,663,400,225,76,40,11,3,1319,9817,6976,7701,FALSE,0.784455536314556,2019,2019-2020
AK,2020-06-30,inter-total,420,45,44,32,20,23,7,7,9,14,75,696,495,540,FALSE,0.775862068965517,2019,2019-2020
AK,2020-06-30,inter-ucfe,0,1,0,0,0,0,1,0,0,1,0,3,0,1,FALSE,0.333333333333333,2019,2019-2020
AK,2020-06-30,inter-ucx,0,0,3,0,0,0,0,0,0,0,0,3,0,0,FALSE,0,2019,2019-2020
AK,2020-06-30,inter-ui,420,44,41,32,20,23,6,7,9,13,75,690,495,539,FALSE,0.781159420289855,2019,2019-2020
AK,2020-06-30,intra-total,3126,369,295,274,276,207,179,144,169,246,646,5931,3772,4141,FALSE,0.698195919743719,2019,2019-2020
AK,2020-06-30,intra-ucfe,1,4,3,8,4,5,6,3,4,1,7,46,8,12,FALSE,0.260869565217391,2019,2019-2020
AK,2020-06-30,intra-ucx,3,5,3,5,1,2,1,2,1,1,2,26,5,10,FALSE,0.384615384615385,2019,2019-2020
AK,2020-06-30,intra-ui,3122,360,289,261,271,200,172,139,164,244,637,5859,3759,4119,FALSE,0.703020993343574,2019,2019-2020
AK,2020-07-31,inter-total,236,26,11,12,9,1,7,6,1,38,45,392,281,307,FALSE,0.783163265306123,2020,2020-2021
AK,2020-07-31,inter-ucfe,0,0,0,0,0,0,0,0,0,0,1,1,1,1,FALSE,1,2020,2020-2021
AK,2020-07-31,inter-ucx,0,1,1,0,0,0,0,0,0,0,0,2,0,1,FALSE,0.5,2020,2020-2021
AK,2020-07-31,inter-ui,236,25,10,12,9,1,7,6,1,38,44,389,280,305,FALSE,0.784061696658098,2020,2020-2021
AK,2020-07-31,intra-total,1708,188,102,79,80,73,78,87,82,417,484,3378,2192,2380,FALSE,0.704558910597987,2020,2020-2021
AK,2020-07-31,intra-ucfe,17,5,1,0,0,2,1,1,1,9,12,49,29,34,FALSE,0.693877551020408,2020,2020-2021
AK,2020-07-31,intra-ucx,9,2,1,2,0,2,3,0,4,2,5,30,14,16,FALSE,0.533333333333333,2020,2020-2021
AK,2020-07-31,intra-ui,1682,181,100,77,80,69,74,86,77,406,467,3299,2149,2330,FALSE,0.706274628675356,2020,2020-2021
AK,2020-08-31,inter-total,193,21,10,4,1,2,3,5,3,16,52,310,245,266,FALSE,0.858064516129032,2020,2020-2021
AK,2020-08-31,inter-ucfe,1,0,0,1,0,0,0,0,0,0,1,3,2,2,FALSE,0.666666666666667,2020,2020-2021
AK,2020-08-31,inter-ucx,1,0,0,0,0,0,0,0,0,0,0,1,1,1,FALSE,1,2020,2020-2021
AK,2020-08-31,inter-ui,191,21,10,3,1,2,3,5,3,16,51,306,242,263,FALSE,0.859477124183007,2020,2020-2021
AK,2020-08-31,intra-total,1069,101,81,53,43,32,30,59,39,247,287,2041,1356,1457,FALSE,0.713865752082313,2020,2020-2021
AK,2020-08-31,intra-ucfe,4,1,1,0,1,1,1,3,0,5,2,19,6,7,FALSE,0.368421052631579,2020,2020-2021
AK,2020-08-31,intra-ucx,3,1,0,0,1,0,1,0,0,2,1,9,4,5,FALSE,0.555555555555556,2020,2020-2021
AK,2020-08-31,intra-ui,1062,99,80,53,41,31,28,56,39,240,284,2013,1346,1445,FALSE,0.717834078489816,2020,2020-2021
AK,2020-09-30,inter-total,286,23,16,11,4,5,3,1,1,15,61,426,347,370,FALSE,0.868544600938967,2020,2020-2021
AK,2020-09-30,inter-ucfe,1,0,0,0,0,0,0,0,0,0,0,1,1,1,FALSE,1,2020,2020-2021
AK,2020-09-30,inter-ucx,0,0,2,0,0,0,0,0,0,0,0,2,0,0,FALSE,0,2020,2020-2021
AK,2020-09-30,inter-ui,285,23,14,11,4,5,3,1,1,15,61,423,346,369,FALSE,0.872340425531915,2020,2020-2021
